issue_id,severity,chapter_file,line,category,subject,evidence,proposed_action,source
AUTO-0011,B,20_security_ethics.md,855,chapter_reference_missing_in_bib,https://www.amed.go.jp/koubo/datamanagement.html,"[19] AMED. ""AMEDにおける研究開発データの取扱いに関する基本方針、AMED研究データ利活用に係るガイドライン、データマネジメントプラン"". https://www.amed.go.jp/koubo/datamanagement.html (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0012,B,20_security_ethics.md,857,chapter_reference_missing_in_bib,https://www.nedo.go.jp/jyouhoukoukai/other_CA_00003.html,"[20] NEDO. ""NEDOプロジェクトにおけるデータマネジメントについて"". https://www.nedo.go.jp/jyouhoukoukai/other_CA_00003.html (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0013,B,20_security_ethics.md,859,chapter_reference_missing_in_bib,https://ukhealthdata.org/wp-content/uploads/2020/04/200430-TRE-Green-Paper-v1.pdf,"[21] UK Health Data Research Alliance. ""Trusted Research Environments (TRE) — A strategy towards building public trust"". 2020. https://ukhealthdata.org/wp-content/uploads/2020/04/200430-TRE-Green-Paper-v1.pdf (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0014,B,20_security_ethics.md,861,chapter_reference_missing_in_bib,https://terra.bio/,"[22] Terra. ""Science at Scale"". https://terra.bio/ (参照日: 2026-07-25)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0015,B,20_security_ethics.md,863,chapter_reference_missing_in_bib,https://anvilproject.org/,"[23] AnVIL Project. ""NHGRI Genomic Data Science Analysis, Visualization, and Informatics Lab-space"". https://anvilproject.org/ (参照日: 2026-07-25)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0016,B,20_security_ethics.md,865,chapter_reference_missing_in_bib,https://www.cancergenomicscloud.org/,"[24] Seven Bridges / NCI. ""Cancer Genomics Cloud"". https://www.cancergenomicscloud.org/ (参照日: 2026-07-25)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0017,B,20_security_ethics.md,867,chapter_reference_missing_in_bib,https://ukbiobank.dnanexus.com/,"[25] UK Biobank / DNAnexus. ""UK Biobank Research Analysis Platform"". https://ukbiobank.dnanexus.com/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0018,B,20_security_ethics.md,869,chapter_reference_missing_in_bib,https://www.ddbj.nig.ac.jp/services/ddbj-group-cloud.html,"[26] DDBJ. ""DDBJグループクラウド"". https://www.ddbj.nig.ac.jp/services/ddbj-group-cloud.html (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0019,B,hajimeni.md,165,chapter_reference_missing_in_bib,https://docs.python.org/ja/3/tutorial/,"- [24](https://docs.python.org/ja/3/tutorial/) Python Software Foundation. ""Pythonチュートリアル"". https://docs.python.org/ja/3/tutorial/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0020,B,hajimeni.md,166,chapter_reference_missing_in_bib,https://utokyo-ipp.github.io/,"- [25](https://utokyo-ipp.github.io/) 東京大学. ""Pythonプログラミング入門"". https://utokyo-ipp.github.io/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0021,B,hajimeni.md,167,chapter_reference_missing_in_bib,https://www.yodosha.co.jp/yodobook/book/9784758122788/,"- [26](https://www.yodosha.co.jp/yodobook/book/9784758122788/) 先進ゲノム解析研究推進プラットフォーム. ""改訂 独習Pythonバイオ情報解析"". 実験医学別冊, 羊土社, 2025. https://www.yodosha.co.jp/yodobook/book/9784758122788/",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0022,B,hajimeni.md,168,chapter_reference_missing_in_bib,https://linuc.org/textbooks/linux/,"- [27](https://linuc.org/textbooks/linux/) LPI-Japan. ""Linux標準教科書"". https://linuc.org/textbooks/linux/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0023,B,hajimeni.md,169,chapter_reference_missing_in_bib,https://missing.csail.mit.edu/,"- [28](https://missing.csail.mit.edu/) MIT. ""The Missing Semester of Your CS Education"". https://missing.csail.mit.edu/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0024,B,hajimeni.md,170,chapter_reference_missing_in_bib,https://togotv.dbcls.jp/,"- [29](https://togotv.dbcls.jp/) DBCLS. ""統合TV"". https://togotv.dbcls.jp/ (参照日: 2026-03-31)",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0025,B,hajimeni.md,171,chapter_reference_missing_in_bib,https://www.amazon.co.jp/dp/4815731063,"- [30](https://www.amazon.co.jp/dp/4815731063) 坊農秀雅. ""生命科学研究のためのデジタルツール入門 第2版 — 結果に差がつく使いこなし術"". メディカル・サイエンス・インターナショナル, 2024. https://www.amazon.co.jp/dp/4815731063",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
AUTO-0026,B,hajimeni.md,172,chapter_reference_missing_in_bib,https://www.amazon.co.jp/dp/4895929019,"- [31](https://www.amazon.co.jp/dp/4895929019) 坊農秀雅. ""Dr. Bonoの生命科学データ解析"". メディカル・サイエンス・インターナショナル, 2017. https://www.amazon.co.jp/dp/4895929019",対応する `.bib` に書誌情報を追加するか、章本文の参考文献表記を既存 `.bib` に合わせて統一する。,auto_scan
