chapter_file,line,source_kind,label,target_type,raw_target,normalized_target,domain,exists,anchor_target,anchor_status,syntax_status,context
00_ai_agent.md,132,markdown_link,§12 データ処理の実践 — NumPy・pandas・polars,local,./12_data_processing.md,chapters/12_data_processing.md,,yes,,,ok,> **注**: このコードは標準ライブラリのみで動作する。本格的な配列解析では Bio.SeqIO を使うべきであり、その方法は[§12 データ処理の実践 — NumPy・pandas・polars](./12_data_processing.md)で扱う。
00_ai_agent.md,235,image,ORF検出・HMM予測・GenBankアノテーションの比較,local,../figures/ch00_orf_comparison.png,figures/ch00_orf_comparison.png,,yes,,,ok,![ORF検出・HMM予測・GenBankアノテーションの比較](../figures/ch00_orf_comparison.png)
00_ai_agent.md,245,markdown_link,§3 コーディングに必要な計算機科学,local,./03_cs_basics.md,chapters/03_cs_basics.md,,yes,,,ok,ここで「自分にはHMMのパラメータの妥当性を評価できない」と気づくことが重要である。この気づきこそが、[§3 コーディングに必要な計算機科学](./03_cs_basics.md)以降で計算機科学やアルゴリズムの基礎を学ぶ動機になる。
00_ai_agent.md,252,markdown_link,§0-2,local,#0-2-plan--execute--review-ワークフロー,chapters/00_ai_agent.md,,yes,0-2-plan--execute--review-ワークフロー,ok,ok,- Step 1は「いきなり実装」、Step 2は「結果を見て戦略を練り直し」であった。[§0-2](#0-2-plan--execute--review-ワークフロー)で学ぶPlan→Execute→Reviewワークフローは、最初から計画的にこのサイクルを回す方法論である
00_ai_agent.md,274,markdown_link,3,external,https://www.anthropic.com/engineering/claude-code-best-practices,https://www.anthropic.com/engineering/claude-code-best-practices,www.anthropic.com,,,,ok,AIコーディングエージェントを使う上で最も重要な原則は「いきなり実装させない」ことである[3](https://www.anthropic.com/engineering/claude-code-best-practices)。
00_ai_agent.md,280,image,4フェーズワークフロー: Explore → Plan → Execute → Commit,local,../figures/ch00_workflow_phases.png,figures/ch00_workflow_phases.png,,yes,,,ok,![4フェーズワークフロー: Explore → Plan → Execute → Commit](../figures/ch00_workflow_phases.png)
00_ai_agent.md,284,markdown_link,3,external,https://www.anthropic.com/engineering/claude-code-best-practices,https://www.anthropic.com/engineering/claude-code-best-practices,www.anthropic.com,,,,ok,- AIに自由に書かせると「自信満々だが的外れなコード」が生成されることがある[3](https://www.anthropic.com/engineering/claude-code-best-practices)
00_ai_agent.md,313,markdown_link,19,external,https://cdn.openai.com/deep-research-system-card.pdf,https://cdn.openai.com/deep-research-system-card.pdf,cdn.openai.com,,,,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,313,markdown_link,20,external,https://www.anthropic.com/engineering/multi-agent-research-system,https://www.anthropic.com/engineering/multi-agent-research-system,www.anthropic.com,,,,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,313,markdown_link,21,external,https://ai.google.dev/gemini-api/docs/deep-research,https://ai.google.dev/gemini-api/docs/deep-research,ai.google.dev,,,,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,313,markdown_link,22,external,https://arxiv.org/abs/2508.05668,https://arxiv.org/abs/2508.05668,arxiv.org,,,,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,313,markdown_link,23,external,https://arxiv.org/abs/2508.12752,https://arxiv.org/abs/2508.12752,arxiv.org,,,,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,313,markdown_link,§0-5 サブエージェントとタスク委譲,local,#0-5-サブエージェントとタスク委譲,chapters/00_ai_agent.md,,yes,0-5-サブエージェントとタスク委譲,ok,ok,DR はブラウザチャット側から提供されるエージェント型の調査機能である[19](https://cdn.openai.com/deep-research-system-card.pdf) [20](https://www.anthropic.com/engineering/multi-agent-research-system) [21](https://ai.google.dev/gemini-api/docs/deep-research)。ユーザが問いを与えると、エージェントはまず明確化の質問を返して調査範囲を絞り込み、そのうえで計画→検索→読解→再計画を10〜60分かけて自動で反復し、最後に引用付きのレポートを生成する[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)。背後では複数のサブエージェントが並列に検索を走らせており、その動作原理は[§0-5 サブエージェントとタスク委譲](#0-5-サブエージェントとタスク委譲)で扱う概念と相同である。ただし DR の場合、サブエージェントの実行環境は CLI ではなくブラウザ側のサービスであり、結果は CLI のコンテキストを消費しない点が本質的に異なる。
00_ai_agent.md,333,markdown_link,§0-6 コンテキスト管理,local,#0-6-コンテキスト管理,chapters/00_ai_agent.md,,yes,0-6-コンテキスト管理,ok,ok,この流れのポイントは、DR の長時間の調査結果が CLI セッションのコンテキストウィンドウを圧迫しないことである。[§0-6 コンテキスト管理](#0-6-コンテキスト管理)で扱うように、CLI エージェントのコンテキストは貴重なリソースであり、レポート1本で数万トークンを消費するような調査は、最初からセッションの外で行うほうが経済的である。また、レポートを人間が一度フィルタに通すことで、DR が混入させうる誤情報が実装に直接流れ込むのを防げる。
00_ai_agent.md,347,markdown_link,20,external,https://www.anthropic.com/engineering/multi-agent-research-system,https://www.anthropic.com/engineering/multi-agent-research-system,www.anthropic.com,,,,ok,> DR の性能は単純な「モデルが強くなった」で説明できるものではなく、**複数エージェントの協調構造**が重要な役割を果たしている。Anthropic が公開した研究事例では、リードエージェント（Opus）が調査を分解し、並列のサブエージェント（Sonnet）が別々の観点から検索を走らせる構成が、単一エージェントより内部評価で **90.2%** 高い成績を示した[20](https://www.anthropic.com/engineering/multi-agent-research-system)。同じ研究では、成績分散の約80%をトークン使用量が説明したと報告されており、「どれだけ読み込んだか」が結果を大きく左右する。OpenAI の DR はリリース当初は o3 系列モデルをベースとして公開されたが[19](https://cdn.openai.com/deep-research-system-card.pdf)、2026年2月に GPT-5.2 へアップグレードされた[24](https://x.com/OpenAI/status/2021299935678026168)。検索結果に応じて方針を転換する反復計画を行うエージェント設計はリリース時から共通する。Google の Gemini Deep Research も多段検索をRLで訓練したエージェントであり、1タスクあたり最大60分程度かけて調査する[21](https://ai.google.dev/gemini-api/docs/deep-research)。
00_ai_agent.md,347,markdown_link,19,external,https://cdn.openai.com/deep-research-system-card.pdf,https://cdn.openai.com/deep-research-system-card.pdf,cdn.openai.com,,,,ok,> DR の性能は単純な「モデルが強くなった」で説明できるものではなく、**複数エージェントの協調構造**が重要な役割を果たしている。Anthropic が公開した研究事例では、リードエージェント（Opus）が調査を分解し、並列のサブエージェント（Sonnet）が別々の観点から検索を走らせる構成が、単一エージェントより内部評価で **90.2%** 高い成績を示した[20](https://www.anthropic.com/engineering/multi-agent-research-system)。同じ研究では、成績分散の約80%をトークン使用量が説明したと報告されており、「どれだけ読み込んだか」が結果を大きく左右する。OpenAI の DR はリリース当初は o3 系列モデルをベースとして公開されたが[19](https://cdn.openai.com/deep-research-system-card.pdf)、2026年2月に GPT-5.2 へアップグレードされた[24](https://x.com/OpenAI/status/2021299935678026168)。検索結果に応じて方針を転換する反復計画を行うエージェント設計はリリース時から共通する。Google の Gemini Deep Research も多段検索をRLで訓練したエージェントであり、1タスクあたり最大60分程度かけて調査する[21](https://ai.google.dev/gemini-api/docs/deep-research)。
00_ai_agent.md,347,markdown_link,24,external,https://x.com/OpenAI/status/2021299935678026168,https://x.com/OpenAI/status/2021299935678026168,x.com,,,,ok,> DR の性能は単純な「モデルが強くなった」で説明できるものではなく、**複数エージェントの協調構造**が重要な役割を果たしている。Anthropic が公開した研究事例では、リードエージェント（Opus）が調査を分解し、並列のサブエージェント（Sonnet）が別々の観点から検索を走らせる構成が、単一エージェントより内部評価で **90.2%** 高い成績を示した[20](https://www.anthropic.com/engineering/multi-agent-research-system)。同じ研究では、成績分散の約80%をトークン使用量が説明したと報告されており、「どれだけ読み込んだか」が結果を大きく左右する。OpenAI の DR はリリース当初は o3 系列モデルをベースとして公開されたが[19](https://cdn.openai.com/deep-research-system-card.pdf)、2026年2月に GPT-5.2 へアップグレードされた[24](https://x.com/OpenAI/status/2021299935678026168)。検索結果に応じて方針を転換する反復計画を行うエージェント設計はリリース時から共通する。Google の Gemini Deep Research も多段検索をRLで訓練したエージェントであり、1タスクあたり最大60分程度かけて調査する[21](https://ai.google.dev/gemini-api/docs/deep-research)。
00_ai_agent.md,347,markdown_link,21,external,https://ai.google.dev/gemini-api/docs/deep-research,https://ai.google.dev/gemini-api/docs/deep-research,ai.google.dev,,,,ok,> DR の性能は単純な「モデルが強くなった」で説明できるものではなく、**複数エージェントの協調構造**が重要な役割を果たしている。Anthropic が公開した研究事例では、リードエージェント（Opus）が調査を分解し、並列のサブエージェント（Sonnet）が別々の観点から検索を走らせる構成が、単一エージェントより内部評価で **90.2%** 高い成績を示した[20](https://www.anthropic.com/engineering/multi-agent-research-system)。同じ研究では、成績分散の約80%をトークン使用量が説明したと報告されており、「どれだけ読み込んだか」が結果を大きく左右する。OpenAI の DR はリリース当初は o3 系列モデルをベースとして公開されたが[19](https://cdn.openai.com/deep-research-system-card.pdf)、2026年2月に GPT-5.2 へアップグレードされた[24](https://x.com/OpenAI/status/2021299935678026168)。検索結果に応じて方針を転換する反復計画を行うエージェント設計はリリース時から共通する。Google の Gemini Deep Research も多段検索をRLで訓練したエージェントであり、1タスクあたり最大60分程度かけて調査する[21](https://ai.google.dev/gemini-api/docs/deep-research)。
00_ai_agent.md,349,markdown_link,22,external,https://arxiv.org/abs/2508.05668,https://arxiv.org/abs/2508.05668,arxiv.org,,,,ok,> DR の体系的な比較・評価軸はサーベイ論文でも整理が進んでおり[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)、「引用の正確性」「網羅性」「首尾一貫性」といった多面的な指標で評価される段階に入っている。ただしツール仕様は数か月単位で変動するため、本文は概念レベルで書き、固有サービス名は本書では対照表の脚注に留める方針を採る。
00_ai_agent.md,349,markdown_link,23,external,https://arxiv.org/abs/2508.12752,https://arxiv.org/abs/2508.12752,arxiv.org,,,,ok,> DR の体系的な比較・評価軸はサーベイ論文でも整理が進んでおり[22](https://arxiv.org/abs/2508.05668) [23](https://arxiv.org/abs/2508.12752)、「引用の正確性」「網羅性」「首尾一貫性」といった多面的な指標で評価される段階に入っている。ただしツール仕様は数か月単位で変動するため、本文は概念レベルで書き、固有サービス名は本書では対照表の脚注に留める方針を採る。
00_ai_agent.md,365,markdown_link,§0-10 セキュリティと権限管理,local,#0-10-セキュリティと権限管理,chapters/00_ai_agent.md,,yes,0-10-セキュリティと権限管理,ok,ok,ただし、DR の出力を鵜呑みにしてはいけない。DR でもハルシネーションは完全には消えず、架空のDOIや誤った著者帰属、存在しない論文タイトルが混入することがある。レポート中の重要な主張は、引用先を必ず人間が開いて一次情報まで遡ること。また、DR はサブスクリプション契約でも実行回数に制限があり、1リクエストで10〜60分かかるため、1日数本という運用が現実的である。機密データ・未発表配列・患者情報をプロンプトに含めてはならない点は[§0-10 セキュリティと権限管理](#0-10-セキュリティと権限管理)および[§20 コードとデータのセキュリティ・倫理](./20_security_ethics.md)の原則と同じである。
00_ai_agent.md,365,markdown_link,§20 コードとデータのセキュリティ・倫理,local,./20_security_ethics.md,chapters/20_security_ethics.md,,yes,,,ok,ただし、DR の出力を鵜呑みにしてはいけない。DR でもハルシネーションは完全には消えず、架空のDOIや誤った著者帰属、存在しない論文タイトルが混入することがある。レポート中の重要な主張は、引用先を必ず人間が開いて一次情報まで遡ること。また、DR はサブスクリプション契約でも実行回数に制限があり、1リクエストで10〜60分かかるため、1日数本という運用が現実的である。機密データ・未発表配列・患者情報をプロンプトに含めてはならない点は[§0-10 セキュリティと権限管理](#0-10-セキュリティと権限管理)および[§20 コードとデータのセキュリティ・倫理](./20_security_ethics.md)の原則と同じである。
00_ai_agent.md,431,markdown_link,§4 データフォーマットの選び方,local,./04_data_formats.md#tidy-data,chapters/04_data_formats.md,,yes,tidy-data,ok,ok,データ構造を理解した上で、[§4 データフォーマットの選び方](./04_data_formats.md#tidy-data)で学ぶ**tidy data**（整然データ）への変換計画を立てさせると、解析パイプライン全体の見通しが良くなる。
00_ai_agent.md,480,markdown_link,1,external,https://code.claude.com/docs,https://code.claude.com/docs,code.claude.com,,,,ok,プロジェクトのルートに設定ファイルを置くことで、エージェントの振る舞いをカスタマイズできる[1](https://code.claude.com/docs) [2](https://github.com/openai/codex)。この設定ファイルは、エージェントがセッション開始時に自動的に読み込む「プロジェクトの取扱説明書」のようなものである。
00_ai_agent.md,480,markdown_link,2,external,https://github.com/openai/codex,https://github.com/openai/codex,github.com,,,,ok,プロジェクトのルートに設定ファイルを置くことで、エージェントの振る舞いをカスタマイズできる[1](https://code.claude.com/docs) [2](https://github.com/openai/codex)。この設定ファイルは、エージェントがセッション開始時に自動的に読み込む「プロジェクトの取扱説明書」のようなものである。
00_ai_agent.md,521,markdown_link,§7 Git入門 — コードのバージョン管理,local,./07_git.md,chapters/07_git.md,,yes,,,ok,設定ファイルは[§7 Git入門 — コードのバージョン管理](./07_git.md)で学ぶGitリポジトリにコミットしておくことで、チームメンバーや将来の自分が同じ規約でエージェントを使える。また、テストコマンドを明記しておくことで、[§8 コードの正しさを守るテスト技法](./08_testing.md)で学ぶテスト駆動開発のワークフローとも連携する。
00_ai_agent.md,521,markdown_link,§8 コードの正しさを守るテスト技法,local,./08_testing.md,chapters/08_testing.md,,yes,,,ok,設定ファイルは[§7 Git入門 — コードのバージョン管理](./07_git.md)で学ぶGitリポジトリにコミットしておくことで、チームメンバーや将来の自分が同じ規約でエージェントを使える。また、テストコマンドを明記しておくことで、[§8 コードの正しさを守るテスト技法](./08_testing.md)で学ぶテスト駆動開発のワークフローとも連携する。
00_ai_agent.md,525,markdown_link,30,external,https://learn.chatgpt.com/docs/prompting,https://learn.chatgpt.com/docs/prompting,learn.chatgpt.com,,,,ok,設定ファイルには、コードの規約だけでなく、回答や説明で使う言葉の方針も書ける。OpenAIは、結果を左右する場合は対象読者を明示し、初心者向けの説明では導入する専門語を定義する例を示している[30](https://learn.chatgpt.com/docs/prompting)。Anthropicも、避けることだけを列挙するのではなく、代わりに何をするかを指示するよう勧めている[32](https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices)。次の言語方針は、`CLAUDE.md`と`AGENTS.md`のどちらにも使える。
00_ai_agent.md,525,markdown_link,32,external,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices,platform.claude.com,,,,ok,設定ファイルには、コードの規約だけでなく、回答や説明で使う言葉の方針も書ける。OpenAIは、結果を左右する場合は対象読者を明示し、初心者向けの説明では導入する専門語を定義する例を示している[30](https://learn.chatgpt.com/docs/prompting)。Anthropicも、避けることだけを列挙するのではなく、代わりに何をするかを指示するよう勧めている[32](https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/claude-prompting-best-practices)。次の言語方針は、`CLAUDE.md`と`AGENTS.md`のどちらにも使える。
00_ai_agent.md,529,markdown_link,35,external,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-5,https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-5,platform.claude.com,,,,ok,Claude Opus 5は以前のOpusより回答や文書が長くなりやすく、作業中の進捗も詳しく説明しやすい。effortを下げるだけでは、利用者に表示される文章の長さを確実には制御できないため、長さと報告頻度は別に指定する[35](https://platform.claude.com/docs/en/build-with-claude/prompt-engineering/prompting-claude-opus-5)。たとえば次の一文を言語方針に加える。
00_ai_agent.md,533,markdown_link,31,external,https://learn.chatgpt.com/docs/agent-configuration/agents-md,https://learn.chatgpt.com/docs/agent-configuration/agents-md,learn.chatgpt.com,,,,ok,`AGENTS.md`は実行ごとに読み込まれる指示の連鎖に組み込まれ[31](https://learn.chatgpt.com/docs/agent-configuration/agents-md)、`CLAUDE.md`も各セッションのコンテキストへ読み込まれる[33](https://code.claude.com/docs/en/memory)。したがって、繰り返し守らせたい短い言語方針を常設する用途に向いている。個別の文章生成や、すでに得た回答の用語だけを見直す指示は、[付録D](./appendix_d_agent_vocabulary.md#d-5-不自然な用語を減らす指示)に示す。
00_ai_agent.md,533,markdown_link,33,external,https://code.claude.com/docs/en/memory,https://code.claude.com/docs/en/memory,code.claude.com,,,,ok,`AGENTS.md`は実行ごとに読み込まれる指示の連鎖に組み込まれ[31](https://learn.chatgpt.com/docs/agent-configuration/agents-md)、`CLAUDE.md`も各セッションのコンテキストへ読み込まれる[33](https://code.claude.com/docs/en/memory)。したがって、繰り返し守らせたい短い言語方針を常設する用途に向いている。個別の文章生成や、すでに得た回答の用語だけを見直す指示は、[付録D](./appendix_d_agent_vocabulary.md#d-5-不自然な用語を減らす指示)に示す。
00_ai_agent.md,533,markdown_link,付録D,local,./appendix_d_agent_vocabulary.md#d-5-不自然な用語を減らす指示,chapters/appendix_d_agent_vocabulary.md,,yes,d-5-不自然な用語を減らす指示,ok,ok,`AGENTS.md`は実行ごとに読み込まれる指示の連鎖に組み込まれ[31](https://learn.chatgpt.com/docs/agent-configuration/agents-md)、`CLAUDE.md`も各セッションのコンテキストへ読み込まれる[33](https://code.claude.com/docs/en/memory)。したがって、繰り返し守らせたい短い言語方針を常設する用途に向いている。個別の文章生成や、すでに得た回答の用語だけを見直す指示は、[付録D](./appendix_d_agent_vocabulary.md#d-5-不自然な用語を減らす指示)に示す。
00_ai_agent.md,535,markdown_link,30,external,https://learn.chatgpt.com/docs/prompting,https://learn.chatgpt.com/docs/prompting,learn.chatgpt.com,,,,ok,ただし、この指示は不自然な用語の発生を減らすためのものであり、正しさを保証する仕組みではない。「日本語訳を新造しない」という指定も、各社の公式機能ではなく、一般的なプロンプト設計原則を日本語の技術文書へ適用した本書独自の緩和策である。重要な文章では、回答前の確認を求めたうえで、人間が公式ドキュメントや分野の慣用表記と照合する必要がある。OpenAIも、重要な作業では最終確認を求め、利用・共有前に人間がレビューするよう勧めている[30](https://learn.chatgpt.com/docs/prompting)。
00_ai_agent.md,546,markdown_link,§8,local,./08_testing.md,chapters/08_testing.md,,yes,,,ok,> | アーキテクチャ制約の機械的強制 | リンター、テスト、pre-commitフックで違反を自動検出 | [§8](./08_testing.md) |
00_ai_agent.md,547,markdown_link,§0-4,local,#0-4-エージェントにレビューさせる,chapters/00_ai_agent.md,,yes,0-4-エージェントにレビューさせる,ok,ok,> | 生成と評価の分離 | コードを書くエージェントと品質を判定するエージェントを分ける | [§0-4](#0-4-エージェントにレビューさせる) |
00_ai_agent.md,548,markdown_link,§0-2,local,#0-2-plan--execute--review-ワークフロー,chapters/00_ai_agent.md,,yes,0-2-plan--execute--review-ワークフロー,ok,ok,> | 段階的実装の強制 | 一括実装ではなく機能ごとに段階的に進め、各段階で検証する | [§0-2](#0-2-plan--execute--review-ワークフロー) |
00_ai_agent.md,558,markdown_link,§5-5,local,./05_software_components.md#5-5-mcpmodel-context-protocol-エージェントの能力を拡張する,chapters/05_software_components.md,,yes,5-5-mcpmodel-context-protocol-エージェントの能力を拡張する,ok,ok,| **MCP**（Model Context Protocol） | エージェントに外部ツールやデータベースへのアクセス能力を追加する。たとえばGitHub MCPを追加すると、エージェントがIssueの検索やPRの作成を直接行えるようになる | [§5-5](./05_software_components.md#5-5-mcpmodel-context-protocol-エージェントの能力を拡張する) |
00_ai_agent.md,559,markdown_link,§8-3,local,./08_testing.md#エージェントフック--ツール実行前後の自動チェック,chapters/08_testing.md,,yes,エージェントフック--ツール実行前後の自動チェック,ok,ok,| **フック**（Hooks） | 一部のエージェントでは、ツール実行の前後にシェルコマンドを自動実行できる。Claude Code では hooks により、編集後の lint や test の自動実行を設定できる | [§8-3](./08_testing.md#エージェントフック--ツール実行前後の自動チェック) |
